Species	Locus_tag	Change	Pval	Padj	COG_categories	COG_numbers	KO_numbers	COG_annotations
B. hydrogenotrophica	RUMHYD_RS00280	1.20549813046275	0.00195135194715778	0.0304955467090704	[V] Defense mechanisms - [M] Cell wall/membrane/envelope biogenesis	COG0845	KO:K02005	Multidrug efflux pump subunit AcrA (membrane-fusion protein)
B. hydrogenotrophica	RUMHYD_RS00290	0.898756673472183	0.00137290931437745	0.0240676971981299				
B. hydrogenotrophica	RUMHYD_RS00905	1.89541950667761	0.000707582106345425	0.0153385540472299	[H] Coenzyme transport and metabolism	COG4822	KO:K02190	Cobalamin biosynthesis protein CbiK, Co2+ chelatase
B. hydrogenotrophica	RUMHYD_RS00925	1.3955082555399	1.53221924440074e-05	0.000936046665670271	[P] Inorganic ion transport and metabolism	COG0310	KO:K02007	ABC-type Co2+ transport system, permease component
B. hydrogenotrophica	RUMHYD_RS00995	-2.71173856111425	0.00105551407100709	0.0198870688518719				
B. hydrogenotrophica	RUMHYD_RS01415	0.807754792079644	0.000758416810159679	0.0157625596833187			KO:K00194	
B. hydrogenotrophica	RUMHYD_RS02430	0.817557567248606	0.000329196524978668	0.00914228138639525	[C] Energy production and conversion	COG1883	KO:K01572	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit
B. hydrogenotrophica	RUMHYD_RS02445	1.01887648766992	0.000331044911312923	0.00914228138639525	[I] Lipid transport and metabolism	COG4799		Acetyl-CoA carboxylase, carboxyltransferase component
B. hydrogenotrophica	RUMHYD_RS02540	-0.632740189786031	0.000877965026027106	0.0175245296284222	[I] Lipid transport and metabolism	COG1502	KO:K06131	Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme
B. hydrogenotrophica	RUMHYD_RS02845	1.54101048586462	0.000275314847969129	0.00828410050008602	[E] Amino acid transport and metabolism	COG0747	KO:K02035	ABC-type transport system, periplasmic component
B. hydrogenotrophica	RUMHYD_RS02855	1.67592082769309	0.00280576843899406	0.0383776956012715	[P] Inorganic ion transport and metabolism - [E] Amino acid transport and metabolism	COG0601	KO:K02033	ABC-type dipeptide/oligopeptide/nickel transport system, permease component
