Species	Locus_tag	Change	Pval	Padj	COG_categories	COG_numbers	KO_numbers	COG_annotations
F. prausnitzii	FAEPRAA2165_RS00170	-3.02586945556577	1.39234539183636e-14	2.76380560279517e-12	[E] Amino acid transport and metabolism	COG3633	KO:K07862	Na+/serine symporter
F. prausnitzii	FAEPRAA2165_RS00185	-1.76954860264232	0.0037365686605412	0.0395578068862628				
F. prausnitzii	FAEPRAA2165_RS00435	5.05684745707419	0.00162941512517067	0.0208670259578309	[P] Inorganic ion transport and metabolism	COG0226	KO:K02040	ABC-type phosphate transport system, periplasmic component
F. prausnitzii	FAEPRAA2165_RS00445	1.02251572170388	0.00321488786228232	0.0357159100432655				
F. prausnitzii	FAEPRAA2165_RS00520	-1.14928854130702	0.000228934360410369	0.00429387123226376				
F. prausnitzii	FAEPRAA2165_RS00525	-1.82951591992964	2.59309058366115e-07	9.65115901606383e-06	[K] Transcription	COG0640	KO:K03892	DNA-binding transcriptional regulator, ArsR family
F. prausnitzii	FAEPRAA2165_RS00580	2.10810317277499	0.00180717960063987	0.0227762000461596				
F. prausnitzii	FAEPRAA2165_RS00650	1.15361951033152	0.00145459052539677	0.0191427327706912	[G] Carbohydrate transport and metabolism	COG3250	KO:K01190	Beta-galactosidase/beta-glucuronidase
F. prausnitzii	FAEPRAA2165_RS00835	2.23213851602389	7.44031747490298e-11	5.37055643188451e-09				
F. prausnitzii	FAEPRAA2165_RS00845	2.24482591868756	1.05372510301178e-08	4.82687152956549e-07				
F. prausnitzii	FAEPRAA2165_RS00850	2.35160923785013	5.51012367660853e-09	2.79257757397479e-07			KO:K06919	
F. prausnitzii	FAEPRAA2165_RS00855	2.03608636577319	7.98368747150001e-08	3.22324467069712e-06				
F. prausnitzii	FAEPRAA2165_RS00860	1.85220435138383	8.21999051255153e-08	3.26333623348296e-06				
F. prausnitzii	FAEPRAA2165_RS00865	-2.11015913779106	0.000432866569885197	0.00741790049975928				
F. prausnitzii	FAEPRAA2165_RS00885	-2.10126487179422	0.000416980307145344	0.00719744269290008	[S] Function unknown	COG0730	KO:K07090	Uncharacterized membrane protein YfcA
F. prausnitzii	FAEPRAA2165_RS00890	-2.71529320300826	4.83554301813723e-05	0.00111827800671873	[K] Transcription	COG1846		DNA-binding transcriptional regulator, MarR family
F. prausnitzii	FAEPRAA2165_RS00980	0.89366553259283	0.00452003288222357	0.0454291912466521	[X] Mobilome: prophages, transposons	COG4679		Phage-related protein
F. prausnitzii	FAEPRAA2165_RS00985	1.47856588087179	2.95250339024748e-05	0.000746676574146888				
F. prausnitzii	FAEPRAA2165_RS01120	-1.86378192435587	0.0029427421887902	0.0335388128885084				
F. prausnitzii	FAEPRAA2165_RS01220	-0.778872807201813	0.00175049578297758	0.0221791540162372				
